Date,Momentum_net,SPY,Turnover
2021-10-31,0.0,0.07016351857350811,0.0
2021-11-30,-0.028834113611403832,-0.008034740295858489,0.0
2021-12-31,-0.01275555893139395,0.046247640457327543,0.3
2022-01-31,-0.05925119010044718,-0.052741287312168095,0.3
2022-02-28,-0.0014089057347945412,-0.02951698841170025,0.4
2022-03-31,0.05605989057137053,0.037590364935501164,0.2
2022-04-30,-0.12467121924471229,-0.08776909079825834,0.3
2022-05-31,0.02768889931104635,0.0022572249739403194,0.2
2022-06-30,-0.0662668443324614,-0.08246038676857781,0.2
2022-07-31,0.1225070557308395,0.09208763320665736,0.2
2022-08-31,-0.04280284756944682,-0.04080217010459852,0.2
2022-09-30,-0.059869331431933084,-0.09244590108882578,0.1
2022-10-31,0.09806560684976404,0.08127567349793186,0.2
2022-11-30,0.02393966128453852,0.05559154192874005,0.1
2022-12-31,-0.039996930960255736,-0.05762839473229031,0.2
2023-01-31,-0.00272532813795787,0.06288752290997679,0.0
2023-02-28,-0.0368840983513865,-0.02514267656877056,0.30000000000000004
2023-03-31,0.054775576409905734,0.03707774554924126,0.1
2023-04-30,0.03807746657846988,0.01597491132323925,0.2
2023-05-31,0.00448175675274903,0.00461635954301598,0.5
2023-06-30,0.08505491398685805,0.06479973521007398,0.2
2023-07-31,0.0537588519504165,0.03273330984760148,0.1
2023-08-31,-0.011465615823090348,-0.016252068676622433,0.2
2023-09-30,-0.047121363323556556,-0.04743455514965478,0.1
2023-10-31,-0.009764287259549908,-0.02170856527296494,0.1
2023-11-30,0.15045964231010092,0.09134391802616748,0.1
2023-12-31,0.03859349985744388,0.045655319116733484,0.1
2024-01-31,0.08568523324252132,0.015926346732203278,0.2
2024-02-29,0.1877491907980188,0.05218691320055302,0.2
2024-03-31,0.020726382135237753,0.03270192288872398,0.0
2024-04-30,-0.038209164861072425,-0.04031962466094863,0.1
2024-05-31,0.0769021787628987,0.05057977521949231,0.0
2024-06-30,0.08233390923479411,0.03528016248410859,0.3
2024-07-31,-0.03448025331997956,0.01210905573141674,0.2
2024-08-31,0.055184683616983574,0.02336566124174788,0.2
2024-09-30,0.024607065586260114,0.021004548991797156,0.2
2024-10-31,0.019642073788059326,-0.008923558620233862,0.2
2024-11-30,0.09802345741849697,0.059633412885955694,0.2
2024-12-31,0.020907417941915373,-0.024060184703887377,0.1
2025-01-31,0.07304092696794962,0.026856410906426875,0.2
2025-02-28,-0.04413330924264174,-0.012694838336049674,0.1
2025-03-31,-0.09681287528416092,-0.05571909772666972,0.1
2025-04-30,0.10369147846782405,-0.008670119115083419,0.3
2025-05-31,0.08981940499802897,0.06284489987557662,0.2
2025-06-30,0.03172478875674501,0.051386182837998895,0.2
2025-07-31,0.03309471258100568,0.023031505020404186,0.0
2025-08-31,0.0017398189410928507,0.020519492148202145,0.1
2025-09-30,0.11119947278838249,0.03562036952182912,0.1
2025-10-31,0.025653592083724384,0.023837458474752493,0.1
2025-11-30,-0.035693854708656755,0.0019499283249213573,0.2
2025-12-31,0.016136090944812453,0.000797497311368911,0.3
2026-01-31,0.06672257544762548,0.017773339132055144,0.1
